variant,food,roc_auc,pr_auc,converged_epoch,train_time_sec,infer_time_sec,n_params
MSE (*),Almond,0.9732,0.8565,90,312.9391,2.2310,47339
MSE (*),Pistachio,0.9601,0.8718,118,400.2035,2.2002,47339
MSE (*),GarlicStems,0.9953,0.9355,77,279.1596,2.2139,47339
MSE (*),AVG,0.9762,0.8879,95.0000,330.7674,2.2150,47339.0000
MAE,Almond,0.9439,0.8404,223,703.7425,2.1926,47339
MAE,Pistachio,0.9345,0.7615,233,738.6120,2.2288,47339
MAE,GarlicStems,0.9905,0.9337,217,695.4248,2.1902,47339
MAE,AVG,0.9563,0.8452,224.3333,712.5931,2.2039,47339.0000
